number	fixed	volatile	citric	residual	chlorides	free	total	density	ph	sulphates	alcohol	quality
     692	9.2	.92	.24	2.6	.087	12	93	.9998	3.48	.54	9.8	5
     693	8.6	.49	.51	2	.422	16	62	.9979	3.03	1.17	9	5
     694	9	.48	.32	2.8	.084	21	122	.9984	3.32	.62	9.4	5
     695	9	.47	.31	2.7	.084	24	125	.9984	3.31	.61	9.4	5
     696	5.1	.47	.02	1.3	.034	18	44	.9921	3.9	.62	12.8	6
     697	7	.65	.02	2.1	.066	8	25	.9972	3.47	.67	9.5	6
     698	7	.65	.02	2.1	.066	8	25	.9972	3.47	.67	9.5	6
     699	9.4	.615	.28	3.2	.087	18	72	1.0001	3.31	.53	9.7	5
     700	11.8	.38	.55	2.1	.071	5	19	.9986	3.11	.62	10.8	6
     701	10.6	1.02	.43	2.9	.076	26	88	.9984	3.08	.57	10.1	6
     702	7	.65	.02	2.1	.066	8	25	.9972	3.47	.67	9.5	6
     703	7	.64	.02	2.1	.067	9	23	.997	3.47	.67	9.4	6
     704	7.5	.38	.48	2.6	.073	22	84	.9972	3.32	.7	9.6	4
     705	9.1	.765	.04	1.6	.078	4	14	.998	3.29	.54	9.7	4
     706	8.4	1.035	.15	6	.073	11	54	.999	3.37	.49	9.9	5
     707	7	.78	.08	2	.093	10	19	.9956	3.4	.47	10	5
     708	7.4	.49	.19	3	.077	16	37	.9966	3.37	.51	10.5	5
     709	7.8	.545	.12	2.5	.068	11	35	.996	3.34	.61	11.6	6
     710	9.7	.31	.47	1.6	.062	13	33	.9983	3.27	.66	10	6
     711	10.6	1.025	.43	2.8	.08	21	84	.9985	3.06	.57	10.1	5
     712	8.9	.565	.34	3	.093	16	112	.9998	3.38	.61	9.5	5
     713	8.7	.69	0	3.2	.084	13	33	.9992	3.36	.45	9.4	5
     714	8	.43	.36	2.3	.075	10	48	.9976	3.34	.46	9.4	5
     715	9.9	.74	.28	2.6	.078	21	77	.998	3.28	.51	9.8	5
     716	7.2	.49	.18	2.7	.069	13	34	.9967	3.29	.48	9.2	6
     717	8	.43	.36	2.3	.075	10	48	.9976	3.34	.46	9.4	5
     718	7.6	.46	.11	2.6	.079	12	49	.9968	3.21	.57	10	5
     719	8.4	.56	.04	2	.082	10	22	.9976	3.22	.44	9.6	5
     720	7.1	.66	0	3.9	.086	17	45	.9976	3.46	.54	9.5	5
     721	8.4	.56	.04	2	.082	10	22	.9976	3.22	.44	9.6	5
     722	8.9	.48	.24	2.85	.094	35	106	.9982	3.1	.53	9.2	5
     723	7.6	.42	.08	2.7	.084	15	48	.9968	3.21	.59	10	5
     724	7.1	.31	.3	2.2	.053	36	127	.9965	2.94	1.62	9.5	5
     725	7.5	1.115	.1	3.1	.086	5	12	.9958	3.54	.6	11.2	4
     726	9	.66	.17	3	.077	5	13	.9976	3.29	.55	10.4	5
     727	8.1	.72	.09	2.8	.084	18	49	.9994	3.43	.72	11.1	6
     728	6.4	.57	.02	1.8	.067	4	11	.997	3.46	.68	9.5	5
     729	6.4	.57	.02	1.8	.067	4	11	.997	3.46	.68	9.5	5
     730	6.4	.865	.03	3.2	.071	27	58	.995	3.61	.49	12.7	6
     731	9.5	.55	.66	2.3	.387	12	37	.9982	3.17	.67	9.6	5
     732	8.9	.875	.13	3.45	.088	4	14	.9994	3.44	.52	11.5	5
     733	7.3	.835	.03	2.1	.092	10	19	.9966	3.39	.47	9.6	5
     734	7	.45	.34	2.7	.082	16	72	.998	3.55	.6	9.5	5
     735	7.7	.56	.2	2	.075	9	39	.9987	3.48	.62	9.3	5
     736	7.7	.965	.1	2.1	.112	11	22	.9963	3.26	.5	9.5	5
     737	7.7	.965	.1	2.1	.112	11	22	.9963	3.26	.5	9.5	5
     738	8.2	.59	0	2.5	.093	19	58	1.0002	3.5	.65	9.3	6
     739	9	.46	.23	2.8	.092	28	104	.9983	3.1	.56	9.2	5
     740	9	.69	0	2.4	.088	19	38	.999	3.35	.6	9.3	5
     741	8.3	.76	.29	4.2	.075	12	16	.9965	3.45	.68	11.5	6
     742	9.2	.53	.24	2.6	.078	28	139	.99788	3.21	.57	9.5	5
     743	6.5	.615	0	1.9	.065	9	18	.9972	3.46	.65	9.2	5
     744	11.6	.41	.58	2.8	.096	25	101	1.00024	3.13	.53	10	5
     745	11.1	.39	.54	2.7	.095	21	101	1.0001	3.13	.51	9.5	5
     746	7.3	.51	.18	2.1	.07	12	28	.99768	3.52	.73	9.5	6
     747	8.2	.34	.38	2.5	.08	12	57	.9978	3.3	.47	9	6
     748	8.6	.33	.4	2.6	.083	16	68	.99782	3.3	.48	9.4	5
     749	7.2	.5	.18	2.1	.071	12	31	.99761	3.52	.72	9.6	6
     750	7.3	.51	.18	2.1	.07	12	28	.99768	3.52	.73	9.5	6
     751	8.3	.65	.1	2.9	.089	17	40	.99803	3.29	.55	9.5	5
     752	8.3	.65	.1	2.9	.089	17	40	.99803	3.29	.55	9.5	5
     753	7.6	.54	.13	2.5	.097	24	66	.99785	3.39	.61	9.4	5
     754	8.3	.65	.1	2.9	.089	17	40	.99803	3.29	.55	9.5	5
     755	7.8	.48	.68	1.7	.415	14	32	.99656	3.09	1.06	9.1	6
     756	7.8	.91	.07	1.9	.058	22	47	.99525	3.51	.43	10.7	6
     757	6.3	.98	.01	2	.057	15	33	.99488	3.6	.46	11.2	6
     758	8.1	.87	0	2.2	.084	10	31	.99656	3.25	.5	9.8	5
     759	8.1	.87	0	2.2	.084	10	31	.99656	3.25	.5	9.8	5
     760	8.8	.42	.21	2.5	.092	33	88	.99823	3.19	.52	9.2	5
     761	9	.58	.25	2.8	.075	9	104	.99779	3.23	.57	9.7	5
     762	9.3	.655	.26	2	.096	5	35	.99738	3.25	.42	9.6	5
     763	8.8	.7	0	1.7	.069	8	19	.99701	3.31	.53	10	6
     764	9.3	.655	.26	2	.096	5	35	.99738	3.25	.42	9.6	5
     765	9.1	.68	.11	2.8	.093	11	44	.99888	3.31	.55	9.5	6
     766	9.2	.67	.1	3	.091	12	48	.99888	3.31	.54	9.5	6
     767	8.8	.59	.18	2.9	.089	12	74	.99738	3.14	.54	9.4	5
     768	7.5	.6	.32	2.7	.103	13	98	.99938	3.45	.62	9.5	5
     769	7.1	.59	.02	2.3	.082	24	94	.99744	3.55	.53	9.7	6
     770	7.9	.72	.01	1.9	.076	7	32	.99668	3.39	.54	9.6	5
     771	7.1	.59	.02	2.3	.082	24	94	.99744	3.55	.53	9.7	6
     772	9.4	.685	.26	2.4	.082	23	143	.9978	3.28	.55	9.4	5
     773	9.5	.57	.27	2.3	.082	23	144	.99782	3.27	.55	9.4	5
     774	7.9	.4	.29	1.8	.157	1	44	.9973	3.3	.92	9.5	6
     775	7.9	.4	.3	1.8	.157	2	45	.99727	3.31	.91	9.5	6
     776	7.2	1	0	3	.102	7	16	.99586	3.43	.46	10	5
     777	6.9	.765	.18	2.4	.243	5.5	48	.99612	3.4	.6	10.3	6
     778	6.9	.635	.17	2.4	.241	6	18	.9961	3.4	.59	10.3	6
     779	8.3	.43	.3	3.4	.079	7	34	.99788	3.36	.61	10.5	5
     780	7.1	.52	.03	2.6	.076	21	92	.99745	3.5	.6	9.8	5
     781	7	.57	0	2	.19	12	45	.99676	3.31	.6	9.4	6
     782	6.5	.46	.14	2.4	.114	9	37	.99732	3.66	.65	9.8	5
     783	9	.82	.05	2.4	.081	26	96	.99814	3.36	.53	10	5
     784	6.5	.46	.14	2.4	.114	9	37	.99732	3.66	.65	9.8	5
     785	7.1	.59	.01	2.5	.077	20	85	.99746	3.55	.59	9.8	5
     786	9.9	.35	.41	2.3	.083	11	61	.9982	3.21	.5	9.5	5
     787	9.9	.35	.41	2.3	.083	11	61	.9982	3.21	.5	9.5	5
     788	10	.56	.24	2.2	.079	19	58	.9991	3.18	.56	10.1	6
     789	10	.56	.24	2.2	.079	19	58	.9991	3.18	.56	10.1	6
     790	8.6	.63	.17	2.9	.099	21	119	.998	3.09	.52	9.3	5
     791	7.4	.37	.43	2.6	.082	18	82	.99708	3.33	.68	9.7	6
     792	8.8	.64	.17	2.9	.084	25	130	.99818	3.23	.54	9.6	5
     793	7.1	.61	.02	2.5	.081	17	87	.99745	3.48	.6	9.7	6
     794	7.7	.6	0	2.6	.055	7	13	.99639	3.38	.56	10.8	5
     795	10.1	.27	.54	2.3	.065	7	26	.99531	3.17	.53	12.5	6
     796	10.8	.89	.3	2.6	.132	7	60	.99786	2.99	1.18	10.2	5
     797	8.7	.46	.31	2.5	.126	24	64	.99746	3.1	.74	9.6	5
     798	9.3	.37	.44	1.6	.038	21	42	.99526	3.24	.81	10.8	7
     799	9.4	.5	.34	3.6	.082	5	14	.9987	3.29	.52	10.7	6
     800	9.4	.5	.34	3.6	.082	5	14	.9987	3.29	.52	10.7	6
     801	7.2	.61	.08	4	.082	26	108	.99641	3.25	.51	9.4	5
     802	8.6	.55	.09	3.3	.068	8	17	.99735	3.23	.44	10	5
     803	5.1	.585	0	1.7	.044	14	86	.99264	3.56	.94	12.9	7
     804	7.7	.56	.08	2.5	.114	14	46	.9971	3.24	.66	9.6	6
     805	8.4	.52	.22	2.7	.084	4	18	.99682	3.26	.57	9.9	6
     806	8.2	.28	.4	2.4	.052	4	10	.99356	3.33	.7	12.8	7
     807	8.4	.25	.39	2	.041	4	10	.99386	3.27	.71	12.5	7
     808	8.2	.28	.4	2.4	.052	4	10	.99356	3.33	.7	12.8	7
     809	7.4	.53	.12	1.9	.165	4	12	.99702	3.26	.86	9.2	5
     810	7.6	.48	.31	2.8	.07	4	15	.99693	3.22	.55	10.3	6
     811	7.3	.49	.1	2.6	.068	4	14	.99562	3.3	.47	10.5	5
     812	12.9	.5	.55	2.8	.072	7	24	1.00012	3.09	.68	10.9	6
     813	10.8	.45	.33	2.5	.099	20	38	.99818	3.24	.71	10.8	5
     814	6.9	.39	.24	2.1	.102	4	7	.99462	3.44	.58	11.4	4
     815	12.6	.41	.54	2.8	.103	19	41	.99939	3.21	.76	11.3	6
     816	10.8	.45	.33	2.5	.099	20	38	.99818	3.24	.71	10.8	5
     817	9.8	.51	.19	3.2	.081	8	30	.9984	3.23	.58	10.5	6
     818	10.8	.29	.42	1.6	.084	19	27	.99545	3.28	.73	11.9	6
     819	7.1	.715	0	2.35	.071	21	47	.99632	3.29	.45	9.4	5
     820	9.1	.66	.15	3.2	.097	9	59	.99976	3.28	.54	9.6	5
     821	7	.685	0	1.9	.099	9	22	.99606	3.34	.6	9.7	5
     822	4.9	.42	0	2.1	.048	16	42	.99154	3.71	.74	14	7
     823	6.7	.54	.13	2	.076	15	36	.9973	3.61	.64	9.8	5
     824	6.7	.54	.13	2	.076	15	36	.9973	3.61	.64	9.8	5
     825	7.1	.48	.28	2.8	.068	6	16	.99682	3.24	.53	10.3	5
     826	7.1	.46	.14	2.8	.076	15	37	.99624	3.36	.49	10.7	5
     827	7.5	.27	.34	2.3	.05	4	8	.9951	3.4	.64	11	7
     828	7.1	.46	.14	2.8	.076	15	37	.99624	3.36	.49	10.7	5
     829	7.8	.57	.09	2.3	.065	34	45	.99417	3.46	.74	12.7	8
     830	5.9	.61	.08	2.1	.071	16	24	.99376	3.56	.77	11.1	6
     831	7.5	.685	.07	2.5	.058	5	9	.99632	3.38	.55	10.9	4
     832	5.9	.61	.08	2.1	.071	16	24	.99376	3.56	.77	11.1	6
     833	10.4	.44	.42	1.5	.145	34	48	.99832	3.38	.86	9.9	3
     834	11.6	.47	.44	1.6	.147	36	51	.99836	3.38	.86	9.9	4
     835	8.8	.685	.26	1.6	.088	16	23	.99694	3.32	.47	9.4	5
     836	7.6	.665	.1	1.5	.066	27	55	.99655	3.39	.51	9.3	5
     837	6.7	.28	.28	2.4	.012	36	100	.99064	3.26	.39	11.7	7
     838	6.7	.28	.28	2.4	.012	36	100	.99064	3.26	.39	11.7	7
     839	10.1	.31	.35	1.6	.075	9	28	.99672	3.24	.83	11.2	7
     840	6	.5	.04	2.2	.092	13	26	.99647	3.46	.47	10	5
     841	11.1	.42	.47	2.65	.085	9	34	.99736	3.24	.77	12.1	7
     842	6.6	.66	0	3	.115	21	31	.99629	3.45	.63	10.3	5
     843	10.6	.5	.45	2.6	.119	34	68	.99708	3.23	.72	10.9	6
     844	7.1	.685	.35	2	.088	9	92	.9963	3.28	.62	9.4	5
     845	9.9	.25	.46	1.7	.062	26	42	.9959	3.18	.83	10.6	6
     846	6.4	.64	.21	1.8	.081	14	31	.99689	3.59	.66	9.8	5
     847	6.4	.64	.21	1.8	.081	14	31	.99689	3.59	.66	9.8	5
     848	7.4	.68	.16	1.8	.078	12	39	.9977	3.5	.7	9.9	6
     849	6.4	.64	.21	1.8	.081	14	31	.99689	3.59	.66	9.8	5
     850	6.4	.63	.21	1.6	.08	12	32	.99689	3.58	.66	9.8	5
     851	9.3	.43	.44	1.9	.085	9	22	.99708	3.28	.55	9.5	5
     852	9.3	.43	.44	1.9	.085	9	22	.99708	3.28	.55	9.5	5
     853	8	.42	.32	2.5	.08	26	122	.99801	3.22	1.07	9.7	5
     854	9.3	.36	.39	1.5	.08	41	55	.99652	3.47	.73	10.9	6
     855	9.3	.36	.39	1.5	.08	41	55	.99652	3.47	.73	10.9	6
     856	7.6	.735	.02	2.5	.071	10	14	.99538	3.51	.71	11.7	7
     857	9.3	.36	.39	1.5	.08	41	55	.99652	3.47	.73	10.9	6
     858	8.2	.26	.34	2.5	.073	16	47	.99594	3.4	.78	11.3	7
     859	11.7	.28	.47	1.7	.054	17	32	.99686	3.15	.67	10.6	7
     860	6.8	.56	.22	1.8	.074	15	24	.99438	3.4	.82	11.2	6
     861	7.2	.62	.06	2.7	.077	15	85	.99746	3.51	.54	9.5	5
     862	5.8	1.01	.66	2	.039	15	88	.99357	3.66	.6	11.5	6
     863	7.5	.42	.32	2.7	.067	7	25	.99628	3.24	.44	10.4	5
     864	7.2	.62	.06	2.5	.078	17	84	.99746	3.51	.53	9.7	5
     865	7.2	.62	.06	2.7	.077	15	85	.99746	3.51	.54	9.5	5
     866	7.2	.635	.07	2.6	.077	16	86	.99748	3.51	.54	9.7	5
     867	6.8	.49	.22	2.3	.071	13	24	.99438	3.41	.83	11.3	6
     868	6.9	.51	.23	2	.072	13	22	.99438	3.4	.84	11.2	6
     869	6.8	.56	.22	1.8	.074	15	24	.99438	3.4	.82	11.2	6
     870	7.6	.63	.03	2	.08	27	43	.99578	3.44	.64	10.9	6
     871	7.7	.715	.01	2.1	.064	31	43	.99371	3.41	.57	11.8	6
     872	6.9	.56	.03	1.5	.086	36	46	.99522	3.53	.57	10.6	5
     873	7.3	.35	.24	2	.067	28	48	.99576	3.43	.54	10	4
     874	9.1	.21	.37	1.6	.067	6	10	.99552	3.23	.58	11.1	7
     875	10.4	.38	.46	2.1	.104	6	10	.99664	3.12	.65	11.8	7
     876	8.8	.31	.4	2.8	.109	7	16	.99614	3.31	.79	11.8	7
     877	7.1	.47	0	2.2	.067	7	14	.99517	3.4	.58	10.9	4
     878	7.7	.715	.01	2.1	.064	31	43	.99371	3.41	.57	11.8	6
     879	8.8	.61	.19	4	.094	30	69	.99787	3.22	.5	10	6
     880	7.2	.6	.04	2.5	.076	18	88	.99745	3.53	.55	9.5	5
     881	9.2	.56	.18	1.6	.078	10	21	.99576	3.15	.49	9.9	5
     882	7.6	.715	0	2.1	.068	30	35	.99533	3.48	.65	11.4	6
     883	8.4	.31	.29	3.1	.194	14	26	.99536	3.22	.78	12	6
     884	7.2	.6	.04	2.5	.076	18	88	.99745	3.53	.55	9.5	5
     885	8.8	.61	.19	4	.094	30	69	.99787	3.22	.5	10	6
     886	8.9	.75	.14	2.5	.086	9	30	.99824	3.34	.64	10.5	5
     887	9	.8	.12	2.4	.083	8	28	.99836	3.33	.65	10.4	6
     888	10.7	.52	.38	2.6	.066	29	56	.99577	3.15	.79	12.1	7
     889	6.8	.57	0	2.5	.072	32	64	.99491	3.43	.56	11.2	6
     890	10.7	.9	.34	6.6	.112	23	99	1.00289	3.22	.68	9.3	5
     891	7.2	.34	.24	2	.071	30	52	.99576	3.44	.58	10.1	5
     892	7.2	.66	.03	2.3	.078	16	86	.99743	3.53	.57	9.7	5
     893	10.1	.45	.23	1.9	.082	10	18	.99774	3.22	.65	9.3	6
     894	7.2	.66	.03	2.3	.078	16	86	.99743	3.53	.57	9.7	5
     895	7.2	.63	.03	2.2	.08	17	88	.99745	3.53	.58	9.8	6
     896	7.1	.59	.01	2.3	.08	27	43	.9955	3.42	.58	10.7	6
     897	8.3	.31	.39	2.4	.078	17	43	.99444	3.31	.77	12.5	7
     898	7.1	.59	.01	2.3	.08	27	43	.9955	3.42	.58	10.7	6
     899	8.3	.31	.39	2.4	.078	17	43	.99444	3.31	.77	12.5	7
     900	8.3	1.02	.02	3.4	.084	6	11	.99892	3.48	.49	11	3
     901	8.9	.31	.36	2.6	.056	10	39	.99562	3.4	.69	11.8	5
     902	7.4	.635	.1	2.4	.08	16	33	.99736	3.58	.69	10.8	7
     903	7.4	.635	.1	2.4	.08	16	33	.99736	3.58	.69	10.8	7
     904	6.8	.59	.06	6	.06	11	18	.9962	3.41	.59	10.8	7
     905	6.8	.59	.06	6	.06	11	18	.9962	3.41	.59	10.8	7
     906	9.2	.58	.2	3	.081	15	115	.998	3.23	.59	9.5	5
     907	7.2	.54	.27	2.6	.084	12	78	.9964	3.39	.71	11	5
     908	6.1	.56	0	2.2	.079	6	9	.9948	3.59	.54	11.5	6
     909	7.4	.52	.13	2.4	.078	34	61	.99528	3.43	.59	10.8	6
     910	7.3	.305	.39	1.2	.059	7	11	.99331	3.29	.52	11.5	6
     911	9.3	.38	.48	3.8	.132	3	11	.99577	3.23	.57	13.2	6
     912	9.1	.28	.46	9	.114	3	9	.99901	3.18	.6	10.9	6
     913	10	.46	.44	2.9	.065	4	8	.99674	3.33	.62	12.2	6
     914	9.4	.395	.46	4.6	.094	3	10	.99639	3.27	.64	12.2	7
     915	7.3	.305	.39	1.2	.059	7	11	.99331	3.29	.52	11.5	6
     916	8.6	.315	.4	2.2	.079	3	6	.99512	3.27	.67	11.9	6
     917	5.3	.715	.19	1.5	.161	7	62	.99395	3.62	.61	11	5
     918	6.8	.41	.31	8.8	.084	26	45	.99824	3.38	.64	10.1	6
     919	8.4	.36	.32	2.2	.081	32	79	.9964	3.3	.72	11	6
     920	8.4	.62	.12	1.8	.072	38	46	.99504	3.38	.89	11.8	6
     921	9.6	.41	.37	2.3	.091	10	23	.99786	3.24	.56	10.5	5
     922	8.4	.36	.32	2.2	.081	32	79	.9964	3.3	.72	11	6
     923	8.4	.62	.12	1.8	.072	38	46	.99504	3.38	.89	11.8	6
     924	6.8	.41	.31	8.8	.084	26	45	.99824	3.38	.64	10.1	6
     925	8.6	.47	.27	2.3	.055	14	28	.99516	3.18	.8	11.2	5
     926	8.6	.22	.36	1.9	.064	53	77	.99604	3.47	.87	11	7
     927	9.4	.24	.33	2.3	.061	52	73	.99786	3.47	.9	10.2	6
     928	8.4	.67	.19	2.2	.093	11	75	.99736	3.2	.59	9.2	4
     929	8.6	.47	.27	2.3	.055	14	28	.99516	3.18	.8	11.2	5
     930	8.7	.33	.38	3.3	.063	10	19	.99468	3.3	.73	12	7
     931	6.6	.61	.01	1.9	.08	8	25	.99746	3.69	.73	10.5	5
     932	7.4	.61	.01	2	.074	13	38	.99748	3.48	.65	9.8	5
     933	7.6	.4	.29	1.9	.078	29	66	.9971	3.45	.59	9.5	6
     934	7.4	.61	.01	2	.074	13	38	.99748	3.48	.65	9.8	5
     935	6.6	.61	.01	1.9	.08	8	25	.99746	3.69	.73	10.5	5
     936	8.8	.3	.38	2.3	.06	19	72	.99543	3.39	.72	11.8	6
     937	8.8	.3	.38	2.3	.06	19	72	.99543	3.39	.72	11.8	6
     938	12	.63	.5	1.4	.071	6	26	.99791	3.07	.6	10.4	4
     939	7.2	.38	.38	2.8	.068	23	42	.99356	3.34	.72	12.9	7
     940	6.2	.46	.17	1.6	.073	7	11	.99425	3.61	.54	11.4	5
     941	9.6	.33	.52	2.2	.074	13	25	.99509	3.36	.76	12.4	7
     942	9.9	.27	.49	5	.082	9	17	.99484	3.19	.52	12.5	7
     943	10.1	.43	.4	2.6	.092	13	52	.99834	3.22	.64	10	7
     944	9.8	.5	.34	2.3	.094	10	45	.99864	3.24	.6	9.7	7
     945	8.3	.3	.49	3.8	.09	11	24	.99498	3.27	.64	12.1	7
     946	10.2	.44	.42	2	.071	7	20	.99566	3.14	.79	11.1	7
     947	10.2	.44	.58	4.1	.092	11	24	.99745	3.29	.99	12	7
     948	8.3	.28	.48	2.1	.093	6	12	.99408	3.26	.62	12.4	7
     949	8.9	.12	.45	1.8	.075	10	21	.99552	3.41	.76	11.9	7
     950	8.9	.12	.45	1.8	.075	10	21	.99552	3.41	.76	11.9	7
     951	8.9	.12	.45	1.8	.075	10	21	.99552	3.41	.76	11.9	7
     952	8.3	.28	.48	2.1	.093	6	12	.99408	3.26	.62	12.4	7
     953	8.2	.31	.4	2.2	.058	6	10	.99536	3.31	.68	11.2	7
     954	10.2	.34	.48	2.1	.052	5	9	.99458	3.2	.69	12.1	7
     955	7.6	.43	.4	2.7	.082	6	11	.99538	3.44	.54	12.2	6
     956	8.5	.21	.52	1.9	.09	9	23	.99648	3.36	.67	10.4	5
     957	9	.36	.52	2.1	.111	5	10	.99568	3.31	.62	11.3	6
     958	9.5	.37	.52	2	.088	12	51	.99613	3.29	.58	11.1	6
     959	6.4	.57	.12	2.3	.12	25	36	.99519	3.47	.71	11.3	7
     960	8	.59	.05	2	.089	12	32	.99735	3.36	.61	10	5
     961	8.5	.47	.27	1.9	.058	18	38	.99518	3.16	.85	11.1	6
     962	7.1	.56	.14	1.6	.078	7	18	.99592	3.27	.62	9.3	5
     963	6.6	.57	.02	2.1	.115	6	16	.99654	3.38	.69	9.5	5
     964	8.8	.27	.39	2	.1	20	27	.99546	3.15	.69	11.2	6
     965	8.5	.47	.27	1.9	.058	18	38	.99518	3.16	.85	11.1	6
     966	8.3	.34	.4	2.4	.065	24	48	.99554	3.34	.86	11	6
     967	9	.38	.41	2.4	.103	6	10	.99604	3.13	.58	11.9	7
     968	8.5	.66	.2	2.1	.097	23	113	.99733	3.13	.48	9.2	5
     969	9	.4	.43	2.4	.068	29	46	.9943	3.2	.6	12.2	6
     970	6.7	.56	.09	2.9	.079	7	22	.99669	3.46	.61	10.2	5
     971	10.4	.26	.48	1.9	.066	6	10	.99724	3.33	.87	10.9	6
     972	10.4	.26	.48	1.9	.066	6	10	.99724	3.33	.87	10.9	6
     973	10.1	.38	.5	2.4	.104	6	13	.99643	3.22	.65	11.6	7
     974	8.5	.34	.44	1.7	.079	6	12	.99605	3.52	.63	10.7	5
     975	8.8	.33	.41	5.9	.073	7	13	.99658	3.3	.62	12.1	7
     976	7.2	.41	.3	2.1	.083	35	72	.997	3.44	.52	9.4	5
     977	7.2	.41	.3	2.1	.083	35	72	.997	3.44	.52	9.4	5
     978	8.4	.59	.29	2.6	.109	31	119	.99801	3.15	.5	9.1	5
     979	7	.4	.32	3.6	.061	9	29	.99416	3.28	.49	11.3	7
     980	12.2	.45	.49	1.4	.075	3	6	.9969	3.13	.63	10.4	5
     981	9.1	.5	.3	1.9	.065	8	17	.99774	3.32	.71	10.5	6
     982	9.5	.86	.26	1.9	.079	13	28	.99712	3.25	.62	10	5
     983	7.3	.52	.32	2.1	.07	51	70	.99418	3.34	.82	12.9	6
     984	9.1	.5	.3	1.9	.065	8	17	.99774	3.32	.71	10.5	6
     985	12.2	.45	.49	1.4	.075	3	6	.9969	3.13	.63	10.4	5
     986	7.4	.58	0	2	.064	7	11	.99562	3.45	.58	11.3	6
     987	9.8	.34	.39	1.4	.066	3	7	.9947	3.19	.55	11.4	7
     988	7.1	.36	.3	1.6	.08	35	70	.99693	3.44	.5	9.4	5
     989	7.7	.39	.12	1.7	.097	19	27	.99596	3.16	.49	9.4	5
     990	9.7	.295	.4	1.5	.073	14	21	.99556	3.14	.51	10.9	6
     991	7.7	.39	.12	1.7	.097	19	27	.99596	3.16	.49	9.4	5
     992	7.1	.34	.28	2	.082	31	68	.99694	3.45	.48	9.4	5
     993	6.5	.4	.1	2	.076	30	47	.99554	3.36	.48	9.4	6
     994	7.1	.34	.28	2	.082	31	68	.99694	3.45	.48	9.4	5
     995	10	.35	.45	2.5	.092	20	88	.99918	3.15	.43	9.4	5
     996	7.7	.6	.06	2	.079	19	41	.99697	3.39	.62	10.1	6
     997	5.6	.66	0	2.2	.087	3	11	.99378	3.71	.63	12.8	7
     998	5.6	.66	0	2.2	.087	3	11	.99378	3.71	.63	12.8	7
     999	8.9	.84	.34	1.4	.05	4	10	.99554	3.12	.48	9.1	6
    1000	6.4	.69	0	1.65	.055	7	12	.99162	3.47	.53	12.9	6
    1001	7.5	.43	.3	2.2	.062	6	12	.99495	3.44	.72	11.5	7
    1002	9.9	.35	.38	1.5	.058	31	47	.99676	3.26	.82	10.6	7
    1003	9.1	.29	.33	2.05	.063	13	27	.99516	3.26	.84	11.7	7
    1004	6.8	.36	.32	1.8	.067	4	8	.9928	3.36	.55	12.8	7
    1005	8.2	.43	.29	1.6	.081	27	45	.99603	3.25	.54	10.3	5
    1006	6.8	.36	.32	1.8	.067	4	8	.9928	3.36	.55	12.8	7
    1007	9.1	.29	.33	2.05	.063	13	27	.99516	3.26	.84	11.7	7
    1008	9.1	.3	.34	2	.064	12	25	.99516	3.26	.84	11.7	7
    1009	8.9	.35	.4	3.6	.11	12	24	.99549	3.23	.7	12	7
    1010	9.6	.5	.36	2.8	.116	26	55	.99722	3.18	.68	10.9	5
    1011	8.9	.28	.45	1.7	.067	7	12	.99354	3.25	.55	12.3	7
    1012	8.9	.32	.31	2	.088	12	19	.9957	3.17	.55	10.4	6
    1013	7.7	1.005	.15	2.1	.102	11	32	.99604	3.23	.48	10	5
    1014	7.5	.71	0	1.6	.092	22	31	.99635	3.38	.58	10	6
    1015	8	.58	.16	2	.12	3	7	.99454	3.22	.58	11.2	6
    1016	10.5	.39	.46	2.2	.075	14	27	.99598	3.06	.84	11.4	6
    1017	8.9	.38	.4	2.2	.068	12	28	.99486	3.27	.75	12.6	7
    1018	8	.18	.37	.9	.049	36	109	.99007	2.89	.44	12.7	6
    1019	8	.18	.37	.9	.049	36	109	.99007	2.89	.44	12.7	6
    1020	7	.5	.14	1.8	.078	10	23	.99636	3.53	.61	10.4	5
    1021	11.3	.36	.66	2.4	.123	3	8	.99642	3.2	.53	11.9	6
    1022	11.3	.36	.66	2.4	.123	3	8	.99642	3.2	.53	11.9	6
    1023	7	.51	.09	2.1	.062	4	9	.99584	3.35	.54	10.5	5
    1024	8.2	.32	.42	2.3	.098	3	9	.99506	3.27	.55	12.3	6
    1025	7.7	.58	.01	1.8	.088	12	18	.99568	3.32	.56	10.5	7
    1026	8.6	.83	0	2.8	.095	17	43	.99822	3.33	.6	10.4	6
    1027	7.9	.31	.32	1.9	.066	14	36	.99364	3.41	.56	12.6	6
    1028	6.4	.795	0	2.2	.065	28	52	.99378	3.49	.52	11.6	5
    1029	7.2	.34	.21	2.5	.075	41	68	.99586	3.37	.54	10.1	6
    1030	7.7	.58	.01	1.8	.088	12	18	.99568	3.32	.56	10.5	7
    1031	7.1	.59	0	2.1	.091	9	14	.99488	3.42	.55	11.5	7
    1032	7.3	.55	.01	1.8	.093	9	15	.99514	3.35	.58	11	7
    1033	8.1	.82	0	4.1	.095	5	14	.99854	3.36	.53	9.6	5
    1034	7.5	.57	.08	2.6	.089	14	27	.99592	3.3	.59	10.4	6
    1035	8.9	.745	.18	2.5	.077	15	48	.99739	3.2	.47	9.7	6
    1036	10.1	.37	.34	2.4	.085	5	17	.99683	3.17	.65	10.6	7
